# 0-CODE, 1-DESC, 2-TYPE, 3-PROJ, 4-P0, 5-M0, 6-X0, 7-Y0, 8-P1, 9-P2, 10-SF
0101,AL East,SPCS,T,30-30,-85-50,200000,0,,,25000
0102,AL West,SPCS,T,30-00,-87-30,600000,0,,,15000
0201,AZ East,SPCS,T,31-00,-110-10,213360,0,,,10000
0202,AZ Central,SPCS,T,31-00,-111-55,213360,0,,,10000
0203,AZ West,SPCS,T,31-00,-113-45,213360,0,,,15000
0301,AR North,SPCS,L,34-20,-92-00,400000,0,34-56,36-14,
0302,AR South,SPCS,L,32-40,-92-00,400000,400000,33-18,34-46,
0401,CA Zone 1,SPCS,L,39-20,-122-00,2000000,500000,40-00,41-40,
0402,CA Zone 2,SPCS,L,37-40,-122-00,2000000,500000,38-20,39-50,
0403,CA Zone 3,SPCS,L,36-30,-120-30,2000000,500000,37-04,38-26,
0404,CA Zone 4,SPCS,L,35-20,-119-00,2000000,500000,36-00,37-15,
0405,CA Zone 5,SPCS,L,33-30,-118-00,2000000,500000,34-02,35-28,
0406,CA Zone 6,SPCS,L,32-10,-116-15,2000000,500000,32-47,33-53,
0501,CO North,SPCS,L,39-20,-105-30,914401.8289,304800.6096,39-43,40-47,
0502,CO Central,SPCS,L,37-50,-105-30,914401.8289,304800.6096,38-27,39-45,
0503,CO South,SPCS,L,36-40,-105-30,914401.8289,304800.6096,37-14,38-26,
0600,CT,SPCS,L,40-50,-72-45,304800.6096,152400.3048,41-12,41-52,
0700,DE,SPCS,T,38-00,-75-25,200000,0,,,200000
0901,FL East,SPCS,T,24-20,-81-00,200000,0,,,17000
0902,FL West,SPCS,T,24-20,-82-00,200000,0,,,17000
0903,FL North,SPCS,L,29-00,-84-30,600000,0,29-35,30-45,
1001,GA East,SPCS,T,30-00,-82-10,200000,0,,,10000
1002,GA West,SPCS,T,30-00,-84-10,700000,0,,,10000
1101,ID East,SPCS,T,41-40,-112-10,200000,0,,,19000
1102,ID Central,SPCS,T,41-40,-114-00,500000,0,,,19000
1103,ID West,SPCS,T,41-40,-115-45,800000,0,,,15000
1201,IL East,SPCS,T,36-40,-88-20,300000,0,,,40000
1202,IL West,SPCS,T,36-40,-90-10,700000,0,,,17000
1301,IN East,SPCS,T,37-30,-85-40,100000,250000,,,30000
1302,IN West,SPCS,T,37-30,-87-05,900000,250000,,,30000
1401,IA North,SPCS,L,41-30,-93-30,1500000,1000000,42-04,43-16,
1402,IA South,SPCS,L,40-00,-93-30,500000,0,40-37,41-47,
1501,KS North,SPCS,L,38-20,-98-00,400000,0,38-43,39-47,
1502,KS South,SPCS,L,36-40,-98-30,400000,400000,37-16,38-34,
1600,KY1Z,SPCS,L,36-20,-85-45,1500000,1000000,37-05,38-40,
1601,KY North,SPCS,L,37-30,-84-15,500000,0,37-58,38-58,
1602,KY South,SPCS,L,36-20,-85-45,500000,500000,36-44,37-56,
1701,LA North,SPCS,L,30-30,-92-30,1000000,0,31-10,32-40,
1702,LA South,SPCS,L,28-30,-91-20,1000000,0,29-18,30-42,
1703,LA Offshore,SPCS,L,25-30,-91-20,1000000,0,26-10,27-50,
1801,ME East,SPCS,T,43-40,-68-30,300000,0,,,10000
1802,ME West,SPCS,T,42-50,-70-10,900000,0,,,30000
1900,MD,SPCS,L,37-40,-77-00,400000,0,38-18,39-27,
2001,MA M,SPCS,L,41-00,-71-30,200000,750000,41-43,42-41,
2002,MA I,SPCS,L,41-00,-70-30,500000,0,41-17,41-29,
2111,MI North,SPCS,L,44-47,-87-00,8000000,0,45-29,47-05,
2112,MI Central,SPCS,L,43-19,-84-22,6000000,0,44-11,45-42,
2113,MI South,SPCS,L,41-30,-84-22,4000000,0,42-06,43-40,
2201,MN North,SPCS,L,46-30,-93-06,800000,100000,47-02,48-38,
2202,MN Central,SPCS,L,45-00,-94-15,800000,100000,45-37,47-03,
2203,MN South,SPCS,L,43-00,-94-00,800000,100000,43-47,45-13,
2301,MS East,SPCS,T,29-30,-88-50,300000,0,,,20000
2302,MS West,SPCS,T,29-30,-90-20,700000,0,,,20000
2401,MO East,SPCS,T,35-50,-90-30,250000,0,,,15000
2402,MO Central,SPCS,T,35-50,-92-30,500000,0,,,15000
2403,MO West,SPCS,T,36-10,-94-30,850000,0,,,17000
2500,MT,SPCS,L,44-15,-109-30,600000,0,45-00,49-00,
2600,NE,SPCS,L,39-50,-100-00,500000,0,40-00,43-00,
2701,NV East,SPCS,T,34-45,-115-35,200000,8000000,,,10000
2702,NV Central,SPCS,T,34-45,-116-40,500000,6000000,,,10000
2703,NV West,SPCS,T,34-45,-118-35,800000,4000000,,,10000
2800,NH,SPCS,T,42-30,-71-40,300000,0,,,30000
2900,NJ,SPCS,T,38-50,-74-30,150000,0,,,10000
3001,NM East,SPCS,T,31-00,-104-20,165000,0,,,11000
3002,NM Central,SPCS,T,31-00,-106-15,500000,0,,,10000
3003,NM West,SPCS,T,31-00,-107-50,830000,0,,,12000
3101,NY East,SPCS,T,38-50,-74-30,150000,0,,,10000
3102,NY Central,SPCS,T,40-00,-76-35,250000,0,,,16000
3103,NY West,SPCS,T,40-00,-78-35,350000,0,,,16000
3104,NY Long Island,SPCS,L,40-10,-74-00,300000,0,40-40,41-02,
3200,NC,SPCS,L,33-45,-79-00,609601.22,0,34-20,36-10,
3301,ND North,SPCS,L,47-00,-100-30,600000,0,47-26,48-44,
3302,ND South,SPCS,L,45-40,-100-30,600000,0,46-11,47-29,
3401,OH North,SPCS,L,39-40,-82-30,600000,0,40-26,41-42,
3402,OH South,SPCS,L,38-00,-82-30,600000,0,38-44,40-02,
3501,OK North,SPCS,L,35-00,-98-00,600000,0,35-34,36-46,
3502,OK South,SPCS,L,33-20,-98-00,600000,0,33-56,35-14,
3601,OR North,SPCS,L,43-40,-120-30,2500000,0,44-20,46-00,
3602,OR South,SPCS,L,41-40,-120-30,1500000,0,42-20,44-00,
3701,PA North,SPCS,L,40-10,-77-45,600000,0,40-53,41-57,
3702,PA South,SPCS,L,39-20,-77-45,600000,0,39-56,40-58,
3800,RI,SPCS,T,41-05,-71-30,100000,0,,,160000
3900,SC,SPCS,L,31-50,-81-00,609600,0,32-30,34-50,
4001,SD North,SPCS,L,43-50,-100-00,600000,0,44-25,45-41,
4002,SD South,SPCS,L,42-20,-100-20,600000,0,42-50,44-24,
4100,TN,SPCS,L,34-20,-86-00,600000,0,35-15,36-25,
4201,TX North,SPCS,L,34-00,-101-30,200000,1000000,34-39,36-11,
4202,TX South Central,SPCS,L,31-40,-98-30,600000,2000000,32-08,33-58,
4203,TX Central,SPCS,L,29-40,-100-20,700000,3000000,30-07,31-53,
4204,TX North Central,SPCS,L,27-50,-99-00,600000,4000000,28-23,30-17,
4205,TX South,SPCS,L,25-40,-98-30,300000,5000000,26-10,27-50,
4301,UT North,SPCS,L,40-20,-111-30,500000,1000000,40-43,41-47,
4302,UT Central,SPCS,L,38-20,-111-30,500000,2000000,39-01,40-39,
4303,UT South,SPCS,L,36-40,-111-30,500000,3000000,37-13,38-21,
4400,VT,SPCS,T,42-30,-72-30,500000,0,,,28000
4501,VA North,SPCS,L,37-40,-78-30,3500000,2000000,38-02,39-12,
4502,VA South,SPCS,L,36-20,-78-30,3500000,1000000,36-46,37-58,
4601,WA North,SPCS,L,47-00,-120-50,500000,0,47-30,48-44,
4602,WA South,SPCS,L,45-20,-120-30,500000,0,45-50,47-20,
4701,WV North,SPCS,L,38-30,-79-30,600000,0,39-00,40-15,
4702,WV South,SPCS,L,37-00,-81-00,600000,0,37-29,38-53,
4801,WI North,SPCS,L,45-10,-90-00,600000,0,45-34,46-46,
4802,WI Central,SPCS,L,43-50,-90-00,600000,0,44-15,45-30,
4803,WI South,SPCS,L,42-00,-90-00,600000,0,42-44,44-04,
4901,WY East,SPCS,T,40-30,-105-10,200000,0,,,16000
4902,WY East Central,SPCS,T,40-30,-107-20,400000,100000,,,16000
4903,WY West Central,SPCS,T,40-30,-108-45,600000,0,,,16000
4904,WY West,SPCS,T,40-30,-110-05,800000,100000,,,16000
5001,AK Zone 1,SPCS,O,57-00,-133-40,5000000,-5000000,-00-45,,10000
5002,AK Zone 2,SPCS,T,54-00,-142-00,500000,0,,,10000
5003,AK Zone 3,SPCS,T,54-00,-146-00,500000,0,,,10000
5004,AK Zone 4,SPCS,T,54-00,-150-00,500000,0,,,10000
5005,AK Zone 5,SPCS,T,54-00,-154-00,500000,0,,,10000
5006,AK Zone 6,SPCS,T,54-00,-158-00,500000,0,,,10000
5007,AK Zone 7,SPCS,T,54-00,-162-00,500000,0,,,10000
5008,AK Zone 8,SPCS,T,54-00,-166-00,500000,0,,,10000
5009,AK Zone 9,SPCS,T,54-00,-170-00,500000,0,,,10000
5010,AK Zone 10,SPCS,L,51-00,-176-00,1000000,0,51-50,53-50,
5101,HI Zone 1,SPCS,T,18-50,-155-30,500000,0,,,30000
5102,HI Zone 2,SPCS,T,20-20,-156-40,500000,0,,,30000
5103,HI Zone 3,SPCS,T,21-10,-158-00,500000,0,,,100000
5104,HI Zone 4,SPCS,T,21-50,-159-30,500000,0,,,100000
5105,HI Zone 5,SPCS,T,21-40,-160-10,500000,0,,,1
5200,Puerto Rico,SPCS,L,17-50,-66-26,200000,200000,18-02,18-26,
