CODE,DESC,TYPE,PROJ,P0,M0,X0,Y0,P1/K0,P2
0401,CA Zone 1,SPCS,LCC,39-20,-122-00,2000000,500000,40-00,41-40
0402,CA Zone 2,SPCS,LCC,37-40,-122-00,2000000,500000,38-20,39-50
0403,CA Zone 3,SPCS,LCC,36-30,-120-30,2000000,500000,37-04,38-26
0404,CA Zone 4,SPCS,LCC,35-20,-119-00,2000000,500000,36-00,37-15
0405,CA Zone 5,SPCS,LCC,33-30,-118-00,2000000,500000,34-02,35-28
0406,CA Zone 6,SPCS,LCC,32-10,-116-15,2000000,500000,32-47,33-53
2701,NV East,SPCS,TM,34-45,-115-35,200000,8000000,0.9999,
2703,NV Central,SPCS,TM,34-45,-116-40,500000,6000000,0.9999,
2702,NV West,SPCS,TM,34-45,-118-35,800000,4000000,0.9999,
3601,OR North,SPCS,LCC,43-40,-120-30,2500000,0,44-20,46-00
3602,OR South,SPCS,LCC,41-40,-120-30,1500000,0,42-20,44-00
